date,hour,production
2022-01-01,0,0
2022-01-01,1,0
2022-01-01,2,0
2022-01-01,3,0
2022-01-01,4,0
2022-01-01,5,0
2022-01-01,6,0
2022-01-01,7,0
2022-01-01,8,3.4
2022-01-01,9,6.8
2022-01-01,10,9.38
2022-01-01,11,7.65
2022-01-01,12,6.8
2022-01-01,13,5.1
2022-01-01,14,5.1
2022-01-01,15,1.7
2022-01-01,16,0
2022-01-01,17,0
2022-01-01,18,0
2022-01-01,19,0
2022-01-01,20,0
2022-01-01,21,0
2022-01-01,22,0
2022-01-01,23,0
2022-01-02,0,0
2022-01-02,1,0
2022-01-02,2,0
2022-01-02,3,0
2022-01-02,4,0
2022-01-02,5,0
2022-01-02,6,0
2022-01-02,7,0
2022-01-02,8,0
2022-01-02,9,0.85
2022-01-02,10,0.85
2022-01-02,11,0.85
2022-01-02,12,1.7
2022-01-02,13,1.7
2022-01-02,14,5.1
2022-01-02,15,0.85
2022-01-02,16,0
2022-01-02,17,0
2022-01-02,18,0
2022-01-02,19,0
2022-01-02,20,0
2022-01-02,21,0
2022-01-02,22,0
2022-01-02,23,0
2022-01-03,0,0
2022-01-03,1,0
2022-01-03,2,0
2022-01-03,3,0
2022-01-03,4,0
2022-01-03,5,0
2022-01-03,6,0
2022-01-03,7,0.85
2022-01-03,8,5.1
2022-01-03,9,9.35
2022-01-03,10,9.35
2022-01-03,11,10.2
2022-01-03,12,10.2
2022-01-03,13,9.35
2022-01-03,14,7.65
2022-01-03,15,4.25
2022-01-03,16,0
2022-01-03,17,0
2022-01-03,18,0
2022-01-03,19,0
2022-01-03,20,0
2022-01-03,21,0
2022-01-03,22,0
2022-01-03,23,0
2022-01-04,0,0
2022-01-04,1,0
2022-01-04,2,0
2022-01-04,3,0
2022-01-04,4,0
2022-01-04,5,0
2022-01-04,6,0
2022-01-04,7,0
2022-01-04,8,0.85
2022-01-04,9,4.25
2022-01-04,10,5.95
2022-01-04,11,5.95
2022-01-04,12,4.25
2022-01-04,13,5.95
2022-01-04,14,5.95
2022-01-04,15,3.4
2022-01-04,16,0.85
2022-01-04,17,0
2022-01-04,18,0
2022-01-04,19,0
2022-01-04,20,0
2022-01-04,21,0
2022-01-04,22,0
2022-01-04,23,0
2022-01-05,0,0
2022-01-05,1,0
2022-01-05,2,0
2022-01-05,3,0
2022-01-05,4,0
2022-01-05,5,0
2022-01-05,6,0
2022-01-05,7,0
2022-01-05,8,4.25
2022-01-05,9,8.5
2022-01-05,10,10.2
2022-01-05,11,9.35
2022-01-05,12,10.2
2022-01-05,13,9.35
2022-01-05,14,8.5
2022-01-05,15,3.4
2022-01-05,16,0
2022-01-05,17,0
2022-01-05,18,0
2022-01-05,19,0
2022-01-05,20,0
2022-01-05,21,0
2022-01-05,22,0
2022-01-05,23,0
2022-01-06,0,0
2022-01-06,1,0
2022-01-06,2,0
2022-01-06,3,0
2022-01-06,4,0
2022-01-06,5,0
2022-01-06,6,0
2022-01-06,7,0.85
2022-01-06,8,5.1
2022-01-06,9,9.35
2022-01-06,10,9.35
2022-01-06,11,10.2
2022-01-06,12,10.2
2022-01-06,13,9.35
2022-01-06,14,7.65
2022-01-06,15,3.4
2022-01-06,16,0.85
2022-01-06,17,0
2022-01-06,18,0
2022-01-06,19,0
2022-01-06,20,0
2022-01-06,21,0
2022-01-06,22,0
2022-01-06,23,0
2022-01-07,0,0
2022-01-07,1,0
2022-01-07,2,0
2022-01-07,3,0
2022-01-07,4,0
2022-01-07,5,0
2022-01-07,6,0
2022-01-07,7,0
2022-01-07,8,1.7
2022-01-07,9,3.4
2022-01-07,10,7.65
2022-01-07,11,9.35
2022-01-07,12,5.95
2022-01-07,13,5.1
2022-01-07,14,4.25
2022-01-07,15,2.55
2022-01-07,16,0
2022-01-07,17,0
2022-01-07,18,0
2022-01-07,19,0
2022-01-07,20,0
2022-01-07,21,0
2022-01-07,22,0
2022-01-07,23,0
2022-01-08,0,0
2022-01-08,1,0
2022-01-08,2,0
2022-01-08,3,0
2022-01-08,4,0
2022-01-08,5,0
2022-01-08,6,0
2022-01-08,7,0
2022-01-08,8,5.1
2022-01-08,9,8.5
2022-01-08,10,10.2
2022-01-08,11,9.35
2022-01-08,12,10.2
2022-01-08,13,9.35
2022-01-08,14,7.65
2022-01-08,15,4.25
2022-01-08,16,0
2022-01-08,17,0
2022-01-08,18,0
2022-01-08,19,0
2022-01-08,20,0
2022-01-08,21,0
2022-01-08,22,0
2022-01-08,23,0
2022-01-09,0,0
2022-01-09,1,0
2022-01-09,2,0
2022-01-09,3,0
2022-01-09,4,0
2022-01-09,5,0
2022-01-09,6,0
2022-01-09,7,0
2022-01-09,8,4.25
2022-01-09,9,9.35
2022-01-09,10,8.5
2022-01-09,11,8.88
2022-01-09,12,5.11
2022-01-09,13,7.65
2022-01-09,14,5.1
2022-01-09,15,4.25
2022-01-09,16,0
2022-01-09,17,0
2022-01-09,18,0
2022-01-09,19,0
2022-01-09,20,0
2022-01-09,21,0
2022-01-09,22,0
2022-01-09,23,0
2022-01-10,0,0
2022-01-10,1,0
2022-01-10,2,0
2022-01-10,3,0
2022-01-10,4,0
2022-01-10,5,0
2022-01-10,6,0
2022-01-10,7,0
2022-01-10,8,0
2022-01-10,9,1.7
2022-01-10,10,0.85
2022-01-10,11,5.95
2022-01-10,12,6.8
2022-01-10,13,9.35
2022-01-10,14,7.65
2022-01-10,15,2.55
2022-01-10,16,0.85
2022-01-10,17,0
2022-01-10,18,0
2022-01-10,19,0
2022-01-10,20,0
2022-01-10,21,0
2022-01-10,22,0
2022-01-10,23,0
2022-01-11,0,0
2022-01-11,1,0
2022-01-11,2,0
2022-01-11,3,0
2022-01-11,4,0
2022-01-11,5,0
2022-01-11,6,0
2022-01-11,7,0
2022-01-11,8,4.25
2022-01-11,9,3.4
2022-01-11,10,2.55
2022-01-11,11,0.85
2022-01-11,12,1.7
2022-01-11,13,6.8
2022-01-11,14,4.25
2022-01-11,15,0.85
2022-01-11,16,0.85
2022-01-11,17,0
2022-01-11,18,0
2022-01-11,19,0
2022-01-11,20,0
2022-01-11,21,0
2022-01-11,22,0
2022-01-11,23,0
2022-01-12,0,0
2022-01-12,1,0
2022-01-12,2,0
2022-01-12,3,0
2022-01-12,4,0
2022-01-12,5,0
2022-01-12,6,0
2022-01-12,7,0
2022-01-12,8,0.85
2022-01-12,9,0.85
2022-01-12,10,1.7
2022-01-12,11,1.7
2022-01-12,12,0.85
2022-01-12,13,0
2022-01-12,14,0.85
2022-01-12,15,0
2022-01-12,16,0
2022-01-12,17,0
2022-01-12,18,0
2022-01-12,19,0
2022-01-12,20,0
2022-01-12,21,0
2022-01-12,22,0
2022-01-12,23,0
2022-01-13,0,0
2022-01-13,1,0
2022-01-13,2,0
2022-01-13,3,0
2022-01-13,4,0
2022-01-13,5,0
2022-01-13,6,0
2022-01-13,7,0
2022-01-13,8,0
2022-01-13,9,0.85
2022-01-13,10,1.7
2022-01-13,11,1.7
2022-01-13,12,0.85
2022-01-13,13,0
2022-01-13,14,0.85
2022-01-13,15,0
2022-01-13,16,0
2022-01-13,17,0
2022-01-13,18,0
2022-01-13,19,0
2022-01-13,20,0
2022-01-13,21,0
2022-01-13,22,0
2022-01-13,23,0
2022-01-14,0,0
2022-01-14,1,0
2022-01-14,2,0
2022-01-14,3,0
2022-01-14,4,0
2022-01-14,5,0
2022-01-14,6,0
2022-01-14,7,0
2022-01-14,8,0
2022-01-14,9,0.85
2022-01-14,10,0.85
2022-01-14,11,1.7
